Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
2014-01-18,834.8666599999997,106150,15371914570187100,8719425.0,26004284,7686045629430180000,12.72316648,4082836.2857142864,120.93,49.169998,19.51,183.639999,105.480003,21.82,1.885883433,8
2014-01-19,838.4291599999997,108455,14782707341311500,8715200.0,26058469,7686045629430180000,11.42147877,4086605.7142857136,120.93,49.169998,19.51,183.639999,105.480003,21.82,1.885883433,8
2014-01-20,881.8758300000003,178427,17074069533713300,8710325.0,26139084,7686045629430180000,15.27797507,4090375.142857143,120.93,49.169998,19.51,183.639999,105.480003,21.82,1.885883433,8
2014-01-21,873.2891599999997,157839,14550098353104800,8706200.0,26223723,7686045629430180000,15.599074599999998,4094144.5714285714,119.699997,49.41,19.17,184.179993,105.559998,21.780001000000002,1.885883433,8
2014-01-22,874.13266,150561,16553419116878400,8701375.0,26300882,7686045629430180000,14.78206656,4097914.0,119.190002,49.599998,19.030001000000002,184.300003,105.300003,21.809998999999998,1.885883433,8
2014-01-23,864.56116,149153,15140282415103700,8696950.0,26371045,7686045629430180000,16.79639116,4098517.4285714286,121.790001,49.080002,19.26,182.78999299999998,106.790001,21.59,1.885883433,8
2014-01-24,838.14997,140660,17952699730418100,8692225.0,26441508,9422504854797780000,15.28913391,4099120.857142857,122.290001,48.029999,19.16,178.889999,107.480003,21.620001000000002,1.885883433,8
2014-01-25,834.57416,124761,17611360584529000,8688100.0,26500535,9422504854797780000,11.85303748,4099724.2857142864,122.290001,48.029999,19.16,178.889999,107.480003,21.620001000000002,1.885883433,8
2014-01-26,858.12641,124218,15925419344726200,8684325.0,26563053,9422504854797780000,11.74920813,4100327.7142857136,122.290001,48.029999,19.16,178.889999,107.480003,21.620001000000002,1.885883433,8
2014-01-27,887.08337,169080,18072663029771500,8679950.0,26641146,9422504854797780000,13.45771067,4100931.142857143,120.959999,47.810001,18.889999,178.009995,106.730003,21.620001000000002,1.885883433,8
2014-01-28,830.53133,156954,16512087616368600,8676100.0,26722589,9422504854797780000,14.15795644,4101534.5714285714,120.949997,48.200001,18.85,179.070007,106.989998,21.629998999999998,1.885883433,8
2014-01-29,832.89496,138883,16528802515052100,8672300.0,26793146,9422504854797780000,13.31325321,4102138.0,122.470001,47.919998,19.02,177.350006,107.870003,21.629998999999998,1.885883433,8
2014-01-30,832.87399,149694,18802277261274500,8667900.0,26869876,9422504854797780000,13.29500605,4103159.0,119.769997,47.970001,18.49,179.229996,107.559998,21.77,1.885883433,8
2014-01-31,841.48914,147160,19426538929283000,8663300.0,26948221,9422504854797780000,14.37916749,4104180.0,120.089996,47.34,18.450001,178.179993,108.279999,21.83,1.885883433,8
2014-02-01,847.3638300000001,133917,20329144844885100,8658575.0,27020166,9422504854797780000,11.42304608,4105201.0,120.089996,47.34,18.450001,178.179993,108.279999,21.83,1.849477317,9
2014-02-02,854.7225,132776,19720782074855300,8653925.0,27088637,9422504854797780000,10.80299217,4106222.0,120.089996,47.34,18.450001,178.179993,108.279999,21.83,1.849477317,9
2014-02-03,856.0336599999997,170376,19906080801139200,8649400.0,27169325,9422504854797780000,12.14407582,4107243.0,121.32,46.459998999999996,18.610001,174.169998,109.32,21.76,1.849477317,9
2014-02-04,847.70697,167699,17573962643951600,8645100.0,27260708,9422504854797780000,14.22240734,4108264.0,120.989998,46.849998,18.75,175.389999,108.160004,21.780001000000002,1.849477317,9
2014-02-05,844.28836,154153,20247022459919100,8640900.0,27339422,11258846395501300000,13.81992653,4109285.0,121.290001,46.400002,19.07,175.169998,107.160004,21.75,1.849477317,9
2014-02-06,802.75333,160867,22799301748867700,8636350.0,27423693,11258846395501300000,15.01442794,4110740.5714285714,121.239998,47.110001000000004,19.17,177.479996,106.699997,21.719998999999998,1.849477317,9
2014-02-07,748.43559,163329,20034224474527900,8632475.0,27512264,11258846395501300000,15.30919578,4112196.142857143,122.16999799999999,47.619999,19.27,179.679993,106.790001,21.65,1.849477317,9
2014-02-08,692.6691400000003,147237,22930697328602400,8627950.0,27587892,11258846395501300000,12.26699028,4113651.7142857136,122.16999799999999,47.619999,19.27,179.679993,106.790001,21.65,1.849477317,9
2014-02-09,668.86463,126663,18070513282925000,8624475.0,27648496,11258846395501300000,10.63153353,4115107.2857142864,122.16999799999999,47.619999,19.27,179.679993,106.790001,21.65,1.849477317,9
2014-02-10,700.44843,169073,19570130116528500,8620575.0,27722094,11258846395501300000,13.13957152,4116562.857142857,122.91999799999999,47.310001,19.290001,180.009995,107.089996,21.629998999999998,1.849477317,9
2014-02-11,694.3125,152277,20887688875012300,8616500.0,27795683,11258846395501300000,13.09678624,4118018.4285714286,124.360001,48.0,19.450001,181.979996,106.470001,21.629998999999998,1.849477317,9
2014-02-12,665.7975,213083,22350191914519600,8612025.0,27865733,11258846395501300000,16.0368654,4119474.0,124.43,47.98,19.43,182.070007,105.91999799999999,21.65,1.849477317,9
2014-02-13,645.615,162451,22758834146055700,8607575.0,27941578,11258846395501300000,14.05001731,4123724.0,125.489998,48.25,19.74,183.009995,106.519997,21.530001000000002,1.849477317,9
2014-02-14,578.4125,174659,24712584310611000,8602800.0,28025621,11258846395501300000,17.09758792,4127974.0,127.150002,48.950001,20.65,184.020004,106.58000200000001,21.49,1.849477317,9
2014-02-15,641.91,149250,23251032853957900,8598125.0,28102626,11258846395501300000,12.55607333,4132224.0,127.150002,48.950001,20.65,184.020004,106.58000200000001,21.49,1.849477317,9
2014-02-16,656.2725,126181,24707958260156800,8593250.0,28161602,11258846395501300000,11.32317875,4136474.0,127.150002,48.950001,20.65,184.020004,106.58000200000001,21.49,1.849477317,9
2014-02-17,611.04499,179060,23473971910201500,8589375.0,28233353,13441414435012100000,23.56170280000001,4140724.0,127.150002,48.950001,20.65,184.020004,106.58000200000001,21.49,1.849477317,9
2014-02-18,634.99,155998,24978060228090700,8585300.0,28312744,13441414435012100000,13.3494205,4144974.0,127.400002,49.139998999999996,21.129998999999998,184.240005,106.82,21.450001,1.849477317,9
2014-02-19,618.79,174809,30372645881848700,8580300.0,28411397,13441414435012100000,14.4588035,4149224.0,126.269997,49.09,20.629998999999998,183.020004,106.370003,21.51,1.849477317,9
2014-02-20,619.8425,178713,26242337910844300,8575875.0,28513872,13441414435012100000,14.81614558,4150759.4285714286,127.599998,49.48,21.0,184.100006,106.110001,21.540001,1.849477317,9
